Id,Name,Property_type,Room_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Host_id,Host_name,Availability_30,Availability_60,Availability_90,Availability_365,Country,Longitude,Latitude,City
31083177,Residence/ 4 kişilik küçük tatlı bir ev :),House,Entire home/apt,1,1125,flexible,4,1.3490136570561457,1.9816232771822357,111,726.4401913875598,82.5373665480427,0.0,1.0,0,92,193088028,Şule,0,0,0,0,Turkey,28.995,41.07672,Istanbul
31110464,#S4銅鑼灣百德大廈D座公寓式住宅,Apartment,Private room,28,1125,strict_14_with_grace_period,2,1.0,1.7395659432387311,447,1424.055718475073,179.45801526717557,0.0,1.0,0,91,198109516,Yumi,29,59,89,364,Hong Kong,114.18655,22.28203,Hong Kong
31117363,Apto ótimo ponto Copacabana! Aconchegante e lindo!,Apartment,Entire home/apt,1,10,moderate,5,1.0,3.0,201,1204.209631728045,154.4988066825776,50.0,4.0,0,95,81682674,Tânia,21,51,81,356,Brazil,-43.181273988604175,-22.96448298680193,Copacabana
31167868,"Taksim, Beyoğlu, Turkey Deluxe Room Sq. 3 Min.Walk",Boutique hotel,Private room,1,1125,flexible,2,1.3490136570561457,1.9816232771822357,111,726.4401913875598,82.5373665480427,0.0,1.0,1,92,21398831,Baris,29,54,81,356,Turkey,28.98075,41.03946,Beyoglu
31191629,8br DUPLEX in Plateau Mont Royal!,Apartment,Entire home/apt,1,1125,strict_14_with_grace_period,16,8.0,10.0,199,324.84578313253013,50.470715835141,40.0,12.0,0,93,229505184,Aj,27,57,87,360,Canada,-73.57736,45.52022,Montreal
31200584,ZT Homes Economic Suite,Serviced apartment,Entire home/apt,3,1125,flexible,3,1.3490136570561457,1.9816232771822357,174,726.4401913875598,82.5373665480427,0.0,1.0,0,92,191749229,Tijen,27,57,87,362,Turkey,28.98644,41.05052,Sisli
31299012,3 Persons Room +Private Bathroom ( 3 人家庭房+私人浴室),Guesthouse,Private room,1,30,strict_14_with_grace_period,3,1.0,1.7395659432387311,416,1424.055718475073,179.45801526717557,0.0,1.0,7,91,192198129,Wing,7,31,61,81,Hong Kong,114.17367,22.29561,Hong Kong
313223,Bedroom & living room  in the best part of Ipanema,Apartment,Entire home/apt,3,180,strict_14_with_grace_period,4,1.0,2.0,164,1204.209631728045,154.4988066825776,50.0,2.0,93,95,792218,Levy,3,8,18,245,Brazil,-43.200373532313,-22.984446544659807,Rio de Janeiro
31391139,Close to EELS rugby club n CBD,Apartment,Entire home/apt,2,30,flexible,4,1.5599343185550083,2.0148026315789473,14,433.06265060240975,90.51914893617023,0.0,1.0,5,93,234657965,Deepak,24,54,84,359,Australia,151.0048,-33.7995,North Parramatta
31465474,The Getaway Van - DEEP SEA,Camper/RV,Entire home/apt,3,30,strict_14_with_grace_period,4,1.5324909747292421,2.408679927667269,59,83.85128205128206,19.04387990762125,0.0,2.0,0,94,22091788,Graça,13,36,36,179,Portugal,-8.63133,41.2001,Leça do Balio
